date, pm25, pm10, o3, no2, so2, co
2014/7/19, 67, 41, , 13, 6, 18
2014/7/20, 59, 57, , 7, 3, 20
2014/7/21, 116, 23, , 6, 10, 19
2014/7/22, 56, 36, , 11, 5, 18
2014/7/23, 50, 64, , 13, 5, 24
2014/7/24, 110, 64, , 12, 9, 22
2014/7/25, 97, 61, , 13, 1, 20
2014/7/26, 131, 34, , 10, 2, 15
2014/7/27, 86, 23, , 2, 1, 11
2014/7/28, 59, 10, , 4, 2, 11
2014/7/29, 25, 14, , 8, 15, 11
2014/7/30, 31, 49, , 10, 7, 16
2014/7/31, 91, 35, , 4, 23, 11
2014/8/1, 62, 11, , 6, 35, 12
2014/8/2, 26, 14, , 2, 7, 11
2014/8/3, 29, 26, , 2, 5, 11
2014/8/4, 33, 52, , 12, 5, 18
2014/8/5, 91, 36, , 7, 18, 13
2014/8/6, 71, 22, , 5, 6, 12
2014/8/7, 41, 56, , 12, 4, 19
2014/8/8, 69, 69, , 11, 7, 24
2014/8/9, 73, 48, , 9, 6, 24
2014/8/10, 57, 29, , 5, 5, 20
2014/8/11, 40, 47, , 10, 9, 22
2014/8/12, 57, 52, , 12, 4, 18
2014/8/13, 63, 45, , 11, 4, 11
2014/8/14, 55, 60, , 14, 4, 14
2014/8/15, 72, 64, , 5, 4, 18
2014/8/16, 100, 48, , 11, 3, 19
2014/8/17, 95, 35, , 7, 5, 20
2014/8/18, 52, 37, , 9, 5, 18
2014/8/19, 51, 59, , 8, 9, 21
2014/8/20, 96, 33, , 9, 8, 15
2014/8/21, 59, 61, , 13, 8, 24
2014/8/22, 133, 64, , 9, 6, 24
2014/8/23, 138, 27, , 4, 7, 16
2014/8/24, 52, 17, , 4, 3, 16
2014/8/25, 56, 26, , 8, 3, 19
2014/8/26, 70, 36, , 11, 4, 16
2014/8/27, 53, 36, , 7, 9, 16
2014/8/28, 65, 37, , 13, 4, 21
2014/8/29, 74, 26, , 7, 4, 16
2014/8/30, 53, 25, , 5, 5, 15
2014/8/31, 39, 21, , 5, 2, 19
2014/9/1, 50, 18, , 4, 17, 16
2014/9/2, 38, 29, , 5, 21, 16
2014/9/3, 47, 23, , 6, 21, 17
2014/9/4, 45, 35, , 8, 6, 19
2014/9/5, 67, 25, , 5, 9, 16
2014/9/6, 48, 18, , 4, 7, 16
2014/9/7, 40, , , , , 
2014/9/9, 30, 52, , 11, 11, 26
2014/9/10, 85, 34, , 7, 5, 18
2014/9/11, 70, 47, , 11, 5, 19
2014/9/12, 60, 58, , 10, 10, 20
2014/9/13, 68, 54, , 11, 6, 20
2014/9/14, 69, 49, , 6, 11, 18
2014/9/15, 63, 44, , 9, 12, 19
2014/9/16, 61, 54, , 6, 6, 21
2014/9/17, 70, 48, , 8, 5, 18
2014/9/18, 66, 38, , 4, 5, 21
2014/9/19, 57, , , , , 
2014/9/23, 50, 20, , 3, 3, 16
2014/9/24, 25, 15, , 4, 3, 16
2014/9/25, 21, 19, , 8, 10, 29
2014/9/26, 28, 29, , 8, 7, 6
2014/9/27, 49, 27, , 5, 6, 17
2014/9/28, 46, 11, , 3, 2, 16
2014/9/29, 26, 22, , 7, 4, 19
2014/9/30, 24, 52, , 10, 7, 20
2014/10/1, 61, 56, , 12, 4, 17
2014/4/9, 45, 37, , 10, 6, 20
2014/4/10, 62, 51, , 10, 15, 19
2014/4/11, 66, 58, , 9, 5, 22
2014/4/12, 71, 42, , 9, 4, 16
2014/4/13, 55, 49, , 8, 8, 17
2014/4/14, 63, 38, , 6, 3, 19
2014/4/15, 56, 41, , 7, 12, 31
2014/4/16, 56, 55, , 10, 12, 27
2014/4/17, 66, 68, , 12, 9, 18
2014/4/18, 73, 62, , 10, 7, 18
2014/4/19, 71, 56, , 7, 6, 18
2014/4/20, 64, 47, , 6, 7, 19
2014/4/21, 58, 49, , 7, 6, 17
2014/4/22, 58, 61, , 8, 5, 18
2014/4/23, 65, 59, , 7, 3, 17
2014/4/24, 71, 51, , 8, 2, 12
2014/4/25, 62, 42, , 8, 3, 11
2014/4/26, 71, 30, , 5, 3, 9
2014/4/27, 63, 32, , 4, 2, 9
2014/4/28, 57, 57, , 9, 10, 14
2014/4/29, 70, 61, , 7, 7, 14
2014/4/30, 76, 69, , 10, 3, 22
2014/5/1, 118, , , , , 
2014/5/3, 98, 22, , 5, 2, 12
2014/5/4, 55, , , , , 
2014/5/6, 77, 86, , 10, 3, 25
2014/5/7, 157, 26, , 6, 2, 11
2014/5/8, 59, 27, , 6, 4, 14
2014/5/9, 50, 39, , 7, 6, 16
2014/5/10, 57, 32, , 6, 10, 10
2014/5/11, 47, 47, , 7, 4, 13
2014/5/12, 69, 55, , 14, 4, 15
2014/5/13, 91, 50, , 10, 2, 13
2014/5/14, 87, 16, , 8, 3, 10
2014/5/15, 35, 18, , 12, 3, 14
2014/5/16, 51, 46, , 12, 3, 13
2014/5/17, 67, 41, , 11, 2, 12
2014/5/18, 56, 49, , 5, 2, 14
2014/5/19, 86, 24, , 7, 1, 11
2014/5/20, 52, 25, , 7, 3, 12
2014/5/21, 55, 18, , 5, 3, 10
2014/5/22, 47, 24, , 9, 1, 15
2014/5/23, 58, 36, , 14, 3, 9
